Location,Temp©,Ph,Humidity (%),Air Quality,Day
A0,30.41,5.8,15.32,49,1
B0,30.41,7.3,29.4,49,1
C0,30.41,4.3,75.85,49,1
D0,30.41,6.9,27.03,49,1
E0,30.41,4.4,35.07,49,1
F0,30.41,7.2,94.87,49,1
G0,30.41,8.3,87.49,49,1
A1,30.41,8.3,44.85,49,1
B1,30.41,8.5,46.43,49,1
C1,30.41,8.7,21.53,49,1
D1,30.41,7,46.16,49,1
E1,30.41,6.8,15.19,49,1
F1,30.41,3.9,21.74,49,1
G1,30.41,4.7,19.71,49,1
A2,30.41,5.3,62.68,49,1
B2,30.41,8.2,27.87,49,1
C2,30.41,5.5,90.85,49,1
D2,30.41,8.5,30.62,49,1
E2,30.41,8.9,95.21,49,1
F2,30.41,4,22.76,49,1
G2,30.41,5.1,94.61,49,1
A3,30.41,7.9,32.13,49,1
B3,30.41,5.4,49.43,49,1
C3,30.41,7.7,33.58,49,1
D3,30.41,3.9,75.09,49,1
E3,30.41,3.8,20.16,49,1
F3,30.41,3.5,79.88,49,1
G3,30.41,8.1,96.48,49,1
A4,30.41,7.5,32.69,49,1
B4,30.41,7.8,14.86,49,1
C4,30.41,8.3,80.16,49,1
D4,30.41,3.9,79.9,49,1
E4,30.41,6.5,18.6,49,1
F4,30.41,3.9,95.6,49,1
G4,30.41,7.3,53.89,49,1
A5,30.41,7.9,44.21,49,1
B5,30.41,7.5,79.62,49,1
C5,30.41,6.3,45.31,49,1
D5,30.41,4.2,90.98,49,1
E5,30.41,4.7,66.45,49,1
F5,30.41,5.7,75.67,49,1
G5,30.41,6.6,22.58,49,1
A6,30.41,5.1,92.45,49,1
B6,30.41,6.8,95.75,49,1
C6,30.41,6.3,90.76,49,1
D6,30.41,4.7,44.58,49,1
E6,30.41,7.2,57.56,49,1
F6,30.41,8.5,80.44,49,1
G6,30.41,8,64.04,49,1
A7,30.41,4.3,95.46,49,1
B7,30.41,3.8,26.57,49,1
C7,30.41,4.8,21.34,49,1
D7,30.41,8.1,65.94,49,1
E7,30.41,3.6,93.79,49,1
F7,30.41,8.3,45.22,49,1
G7,30.41,7.5,66.93,49,1
A8,30.41,8.7,96.95,49,1
B8,30.41,7.8,71.39,49,1
C8,30.41,7,46.6,49,1
D8,30.41,5,56.87,49,1
E8,30.41,4.8,72.11,49,1
F8,30.41,7.6,91.5,49,1
G8,30.41,5,35.8,49,1
A9,30.41,4.4,72.72,49,1
B9,30.41,8.6,91.9,49,1
C9,30.41,5,44.66,49,1
D9,30.41,8.2,73.05,49,1
E9,30.41,9,83.15,49,1
F9,30.41,5.4,87.35,49,1
G9,30.41,6.5,72.1,49,1
A0,25.26,6.8,13.75,26,2
B0,25.26,8,76.11,26,2
C0,25.26,4,35.35,26,2
D0,25.26,5.6,66.68,26,2
E0,25.26,7,44.47,26,2
F0,25.26,8.3,20.94,26,2
G0,25.26,6.6,33.07,26,2
A1,25.26,6.4,43.33,26,2
B1,25.26,6.7,83.74,26,2
C1,25.26,5.1,84.43,26,2
D1,25.26,4.1,61.23,26,2
E1,25.26,4.4,73.36,26,2
F1,25.26,5.6,76.3,26,2
G1,25.26,8.5,62.2,26,2
A2,25.26,5.2,31.55,26,2
B2,25.26,6.6,82.99,26,2
C2,25.26,8.1,41.04,26,2
D2,25.26,7.6,23.88,26,2
E2,25.26,7.3,91.62,26,2
F2,25.26,5.5,81.36,26,2
G2,25.26,6.4,57.13,26,2
A3,25.26,9,98.61,26,2
B3,25.26,7.7,44.03,26,2
C3,25.26,4.9,11,26,2
D3,25.26,7.1,93.84,26,2
E3,25.26,8.2,88.95,26,2
F3,25.26,4,64.69,26,2
G3,25.26,5.6,17.72,26,2
A4,25.26,3.6,17.69,26,2
B4,25.26,6.2,18.05,26,2
C4,25.26,6.8,24.39,26,2
D4,25.26,5.5,24.62,26,2
E4,25.26,6.5,45.38,26,2
F4,25.26,8.9,48.91,26,2
G4,25.26,4.6,85.69,26,2
A5,25.26,6.6,23.81,26,2
B5,25.26,4.9,78.42,26,2
C5,25.26,3.5,89.08,26,2
D5,25.26,3.6,48.03,26,2
E5,25.26,5.8,80.56,26,2
F5,25.26,3.9,51.32,26,2
G5,25.26,8.9,34.27,26,2
A6,25.26,6.2,31.25,26,2
B6,25.26,7.4,41.8,26,2
C6,25.26,5.8,49.33,26,2
D6,25.26,4.4,13.07,26,2
E6,25.26,4.7,75.51,26,2
F6,25.26,6.9,51.01,26,2
G6,25.26,5,15.77,26,2
A7,25.26,7.1,68.03,26,2
B7,25.26,6.1,25.36,26,2
C7,25.26,6.4,14,26,2
D7,25.26,4.3,88.24,26,2
E7,25.26,6,42.37,26,2
F7,25.26,3.5,63.3,26,2
G7,25.26,7.9,31.59,26,2
A8,25.26,5.9,91.58,26,2
B8,25.26,4.6,53.77,26,2
C8,25.26,7.9,45.44,26,2
D8,25.26,7.8,29.51,26,2
E8,25.26,3.8,97.5,26,2
F8,25.26,3.6,73.71,26,2
G8,25.26,6.5,57.73,26,2
A9,25.26,4.5,49.87,26,2
B9,25.26,5.9,86.61,26,2
C9,25.26,4.3,17.14,26,2
D9,25.26,4.3,51.36,26,2
E9,25.26,7.1,68.89,26,2
F9,25.26,5.8,11.75,26,2
G9,25.26,3.8,50.06,26,2
A0,31.86,4.6,57.45,37,3
B0,31.86,4.9,64.82,37,3
C0,31.86,5.1,40.59,37,3
D0,31.86,7.9,14.33,37,3
E0,31.86,4.2,16.52,37,3
F0,31.86,3.7,10.55,37,3
